year,age_group,covid_deaths,source_citation,source_type,fetched_from,verified_by,verified_date,corroborated_against,corroborated_date
2021,75-84,98807,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2021,85+,80934,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,0-24,820,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,25-44,5481,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,45-64,33930,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,65-74,42062,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,75-84,51188,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2022,85+,53070,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2023,0-24,244,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2023,25-44,766,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
