age_group,weight_per_million,source
0-24,353346,"Klein RJ, Schoenborn CA. Age adjustment using the 2000 projected U.S. population. Healthy People Statistical Notes No. 20. NCHS 2001. Table 1, collapsed from 11 groups."
25-44,298186,"Klein & Schoenborn 2001, Table 1, collapsed."
45-64,222081,"Klein & Schoenborn 2001, Table 1, collapsed."
65-74,66037,"Klein & Schoenborn 2001, Table 1."
75-84,44842,"Klein & Schoenborn 2001, Table 1."
85+,15508,"Klein & Schoenborn 2001, Table 1."
